| dtime      | temp      | humidity      |
| 20140130212353 | 140       | 42            |
| 20140130212454 | 150       | 41            |
| 20140130212509 | 150       | 41            |
| 20140130212539 | 150       | 41            |
| 20140130212624 | 150       | 41            |
| 20140130212709 | 150       | 41            |
| 20140130212724 | 150       | 41            |
| 20140130212755 | 150       | 41            |
| 20140130212810 | 150       | 41            |
| 20140130212840 | 150       | 41            |
| 20140130212855 | 150       | 41            |
| 20140130212926 | 150       | 41            |
| 20140130213011 | 150       | 41            |
| 20140130213026 | 150       | 41            |
| 20140130213056 | 150       | 41            |
| 20140130213111 | 150       | 41            |
| 20140130213142 | 150       | 41            |
| 20140130213156 | 150       | 41            |
| 20140130213257 | 150       | 41            |
| 20140130213342 | 150       | 41            |
| 20140130213427 | 150       | 41            |
| 20140130213513 | 150       | 41            |
| 20140130213558 | 150       | 41            |
| 20140130213643 | 150       | 41            |
| 20140130213729 | 150       | 41            |
| 20140130213915 | 150       | 41            |
| 20140130214000 | 150       | 41            |
| 20140130214045 | 150       | 41            |
| 20140130214131 | 150       | 41            |
| 20140130214216 | 150       | 41            |
| 20140130214301 | 150       | 41            |
| 20140130214332 | 150       | 41            |
| 20140130214417 | 150       | 41            |
| 20140130214502 | 150       | 41            |
| 20140130214517 | 150       | 41            |
| 20140130214547 | 150       | 41            |
| 20140130214603 | 150       | 41            |
| 20140130214748 | 150       | 41            |
| 20140130214834 | 150       | 41            |
| 20140130214919 | 150       | 41            |
| 20140130215004 | 150       | 41            |
| 20140130215050 | 150       | 41            |
| 20140130215135 | 150       | 41            |
| 20140130215220 | 150       | 41            |
| 20140130215306 | 140       | 42            |
| 20140130215321 | 140       | 42            |
| 20140130215351 | 140       | 42            |
| 20140130215406 | 140       | 42            |
| 20140130215436 | 140       | 42            |
| 20140130215522 | 140       | 42            |
| 20140130215537 | 140       | 42            |
| 20140130215607 | 140       | 42            |
| 20140130215622 | 140       | 42            |
| 20140130215708 | 140       | 42            |
| 20140130215753 | 140       | 42            |
| 20140130215838 | 140       | 42            |
| 20140130215924 | 140       | 42            |
| 20140130220009 | 140       | 42            |
| 20140130220054 | 140       | 42            |
| 20140130220109 | 140       | 42            |
| 20140130220139 | 140       | 42            |
| 20140130220154 | 140       | 42            |
| 20140130220225 | 140       | 42            |
| 20140130220240 | 140       | 42            |
| 20140130220310 | 140       | 42            |
| 20140130220356 | 140       | 42            |
| 20140130220441 | 140       | 42            |
| 20140130220456 | 140       | 42            |
| 20140130220526 | 140       | 42            |
| 20140130220541 | 140       | 42            |
| 20140130220612 | 140       | 42            |
| 20140130220657 | 140       | 42            |
| 20140130220742 | 140       | 42            |
| 20140130220757 | 140       | 42            |
| 20140130220812 | 140       | 42            |
| 20140130220858 | 140       | 42            |
| 20140130220943 | 140       | 42            |
| 20140130221028 | 140       | 42            |
| 20140130221516 | 150       | 41            |
| 20140130221546 | 150       | 41            |
| 20140130221601 | 150       | 41            |
| 20140130221631 | 150       | 41            |
| 20140130221646 | 150       | 41            |
| 20140130221717 | 150       | 41            |
| 20140130221802 | 150       | 41            |
| 20140130221902 | 150       | 41            |
| 20140130221933 | 150       | 41            |
| 20140130221948 | 150       | 41            |
| 20140130222018 | 150       | 41            |
| 20140130222103 | 150       | 41            |
| 20140130222148 | 150       | 41            |
| 20140130222203 | 150       | 41            |
| 20140130222219 | 150       | 41            |
| 20140130222304 | 150       | 41            |
| 20140130222349 | 150       | 41            |
| 20140130222435 | 150       | 41            |
| 20140130222520 | 150       | 41            |
| 20140130222605 | 150       | 41            |
| 20140130222651 | 150       | 41            |
| 20140130222736 | 150       | 41            |
| 20140130222821 | 150       | 41            |
